Date,Close,High,Low,Open,Volume
2023-01-02,1.0709733963012695,1.071237325668335,1.0653257369995117,1.0709733963012695,0
2023-01-03,1.0677714347839355,1.068261981010437,1.0521553754806519,1.0677714347839355,0
2023-01-04,1.0546854734420776,1.063151240348816,1.0545964241027832,1.0546854734420776,0
2023-01-05,1.0606365203857422,1.06326425075531,1.0515578985214233,1.0606365203857422,0
2023-01-06,1.0522217750549316,1.062225103378296,1.0485258102416992,1.0522217750549316,0
2023-01-09,1.0656323432922363,1.0759514570236206,1.0652804374694824,1.0656323432922363,0
2023-01-10,1.073318362236023,1.0756852626800537,1.0713175535202026,1.073318362236023,0
2023-01-11,1.0738946199417114,1.077470064163208,1.0726851224899292,1.0738946199417114,0
2023-01-12,1.0766000747680664,1.0838346481323242,1.0738024711608887,1.0766000747680664,0
2023-01-13,1.0860239267349243,1.0867793560028076,1.0780625343322754,1.0860239267349243,0
2023-01-16,1.082461953163147,1.0875475406646729,1.080263614654541,1.082461953163147,0
2023-01-17,1.0830129384994507,1.086909294128418,1.0787020921707153,1.0830129384994507,0
2023-01-18,1.0793308019638062,1.0884472131729126,1.0767043828964233,1.0793308019638062,0
2023-01-19,1.0797853469848633,1.0833063125610352,1.0782949924468994,1.0797853469848633,0
2023-01-20,1.083388328552246,1.0856584310531616,1.0804619789123535,1.083388328552246,0
2023-01-23,1.086507797241211,1.0919533967971802,1.0847516059875488,1.0864723920822144,0
2023-01-24,1.0874292850494385,1.089680790901184,1.0839285850524902,1.0874292850494385,0
2023-01-25,1.088814616203308,1.0922634601593018,1.0858116149902344,1.088814616203308,0
2023-01-26,1.0922038555145264,1.0932546854019165,1.0851635932922363,1.0922038555145264,0
2023-01-27,1.0894432067871094,1.0901559591293335,1.0838816165924072,1.0894432067871094,0
2023-01-30,1.0871455669403076,1.0915005207061768,1.0854581594467163,1.0871455669403076,0
2023-01-31,1.0850694179534912,1.0868383646011353,1.0804152488708496,1.0850694179534912,0
2023-02-01,1.0860947370529175,1.092442512512207,1.085293173789978,1.0860947370529175,0
2023-02-02,1.1012852191925049,1.102657437324524,1.088767170906067,1.1012852191925049,0
2023-02-03,1.0905125141143799,1.094067931175232,1.0811045169830322,1.0905125141143799,0
2023-02-06,1.079086184501648,1.0800302028656006,1.0718343257904053,1.079086184501648,0
